from,to,relation,weight
puma,pr,1,3
jc,pr,1,3
jad,pr,1,2
dr,pr,2,4
cln,pr,1,2
dap,pr,1,1
douglas,pr,1,2
nakd,pr,1,4
calzedonia,pr,1,4
naturallyp,pr,0,2
ghd,pr,1,1
nyx,pr,1,1
hej,pr,1,4
mercedesbenz,pr,1,1
alno,pr,1,1
rainforest,pr,1,1
intimissimi,pr,1,3
tech,pr,1,1
sante,pr,1,2
foodist,pr,1,2
pamgoesnuts,pr,0,2
zalando,pr,1,1
liu,pr,1,1
juvia,pr,1,1
koziel,pr,1,1
shape,pr,1,1
schaumermal,pr,0,2
forbes,pr,3,1
maldives,pr,1,3
wmg,pr,1,6
epidemicsound,pr,0,5
js,as,1,1
f,as,1,5
puma,as,1,4
bvb,as,1,2
moa,as,1,1
mh,as,1,2
eins,as,1,1
u,as,1,1
h,as,1,4
dc,as,1,1
hf,as,1,2
ehfk,as,1,1
b,as,1,1
ebhv,as,1,2
s,as,1,1
gymshark,em,1,8
gtrain,em,1,7
gwomen,em,1,7
nu3,em,1,5
ak,em,2,5
hunde,em,2,2
waldorf,em,1,1
dubai,em,1,1
jo,em,2,1
douglasc,em,1,1
secretslanzarote,em,1,1
newsha,em,1,1
holdstrong,em,1,1
placetob,em,1,1
okuhotels,em,1,1
crossfitflensburg,em,1,1
rexona,em,1,1
transformation,em,1,1
fit,em,1,1
fitfemalesclub,em,1,1
plnts,em,1,1
babyplnts,em,1,1
porschegoeppingen,em,1,1
porschenewsroom,em,1,1
sante,em,1,1
sandroparis,em,1,1
ferrari,em,1,1
fitjeans,em,1,1
networkpr,em,1,1
fab4media,em,1,1
mm,em,2,1
ws,em,2,1
doering,em,1,1
gr,em,2,1
nintendo,em,1,1
dp,em,2,1
therabody,em,1,1
optarise,em,1,1
douglasc,douglas,4,0
porschegoeppingen,porsche,4,0
porschenewsroom,porsche,4,0
gtrain,gymshark,4,0
gwomen,gymshark,4,0
nl,tg,2,4
gymshark,tg,1,6
pm,tg,1,1
olakala,tg,1,4
fh,tg,1,1
mb,tg,2,1
kw,tg,2,2
sh,tg,2,1
ww,tg,1,1
rl,tg,1,1
jt,tg,1,1
ni,tg,1,1
blinkist,tg,1,5
rb,tg,2,1
ft,tg,1,1
mp,tg,1,1
therabody,tg,1,3
st,tg,2,1
eb,tg,2,1
ms,tg,1,1
zecplus,tg,1,5
olakala,gin,4,0
gin,tg,,6
shaperepublic,ldp,1,4
t,ldp,1,1
eis,ldp,1,1
gymondo,ldp,1,2
melina,ldp,2,1
eb,ldp,2,1
jd,ldp,2,1