id,name,sex,cooperation,type
pr,Pamela Reif,1,fitness,1
puma,Puma,0,sport,2
jc,Joel Corry,2,music,1
jad,Jason Derulo,2,music,1
dr,Dennis Reif,2,bro,1
cln,Christopher Lund Nissen,2,music,1
dap,David Puentez,2,music,1
douglas,Douglas,0,beauty,2
nakd,NA-KD,0,fashion,2
calzedonia,Calzedonia,0,fashion,2
naturallyp,Naturally Pam,0,food,2
ghd,Ghd Hair,0,beauty,2
nyx,NYX Cosmetics,0,beauty,2
hej,HEJ natural,0,food,2
mercedesbenz,Mercedes Benz,0,car,2
alno,ALNO kitchens,0,house,2
rainforest,The rainforest Company,0,food,2
intimissimi,Intimissimi,0,fashion,2
tech,Technogym,0,sport,2
sante,SANTE Naturkosmetik,0,beauty,2
foodist,Foodist,0,food,2
pamgoesnuts,Pamgoesnuts,0,food,2
zalando,Zalando,0,fashion,2
liu,Liu Jo,0,fashion,2
juvia,JUVIA,0,fashion,2
koziel,KOZIEL,0,house,2
shape,SHAPE Magazin,0,fun,2
schaumermal,Schaumermal,0,fun,2
forbes,Forbes,0,fun,2
maldives,You & Me Maldives,0,travel,2
wmg,Warner Music Germany,0,sound,2
epidemicsound,Epidemic Sound,0,sound,2
as,Alica Schmidt,1,fitness,1
foodspring,Foodspring,0,food,2
bvb,BVB09,0,sport,2
mh,Mats Hummels,2,fitness,1
unique,unique by ATLANTIC HOTELS,0,travel,2
honor,honor,0,communication,2
dc,De Cecco,0,food,2
hf,Hochschule Fresenius,0,education,2
ehfk,EinHerzFÃ¼rKinder,0,volunteer,2
bettco,BettCo,0,house,2
ebhv,Elounda Beach Hotel & Villas,0,travel,2
sugardad,Sugardad,0,food,2
mm,Max Menning,2,photo,1
lk,Luisa Kuhlkamp,1,fitness,1
em,Evelina Mamajeva,1,fitness,1
gymshark,Gymshark,0,sport,2
gtrain,Gymsharktrain,0,sport,2
gwomen,Gymsharkwomen,0,sport,2
nu3,nu3,0,food,2
ak,Alex Kula,2,fitness,1
havanero,Havanero Gini,0,dog,3
waldorf,Waldorf Astoria Dubai ,0,travel,2
dubai,Visit Dubai,0,travel,2
jo,Jessica Olie,1,fitness,1
douglasc,Douglas Cosmetics,0,beauty,2
secretslanzarote,Secrets Lanzarote Resort und Spa,0,travel,2
newsha,Newsha Haircair,0,beauty,2
holdstrong,Hold strong,0,sport,2
placetob,Place to be,0,fun,2
okuhotels,OKU Kos,0,travel,2
crossfitflensburg,Crossfit Flensburg,0,sport,2
rexona,Rexona,0,beauty,2
transformation,Transformation,0,sport,2
fit,Fit,0,sport,2
fitfemalesclub,Fit Females Club,0,sport,2
plnts,PLNTS,0,house,2
babyplnts,Baby PLNTS,0,house,2
porschegoeppingen,Porsche Goeppingen,0,car,2
porschenewsroom,Porsche Newsroom,0,car,2
porsche,Porsche,0,car,2
sandroparis,Sandro Paris,0,fashion,2
ferrari,Ferrari,0,car,2
fitjeans,FITJeans,0,fashion,2
networkpr,NetworkPR,0,communication,2
fab4media,Fab4Media,0,communication,2
makeupmaddeline,Make-Up Maddeline,1,style,1
ws,Whitney Simmons,1,fitness,1
doering,Doering Agency,0,communication,2
gr,Gerid Rux,1,fitness,1
nintendo,Nintendo,0,fun,2
dp,Doreen Petrova,1,life,1
therabody,Therabody,0,sport,2
optarise,Optarise,0,beauty,2
tg,Tim Gabel,2,fitness,1
nl,Nico Lazaridis,2,work,1
pm,Prinz Marcus,2,life,1
olakala,Olakala,0,fashion,2
fh,Florian Homm,2,life,1
mb,Montana Black,2,life,1
kw,Kevin Wolter,2,fitness,1
sh,Sascha Hellinger,2,life,1
ww,World Wide Wohnzimmer,2,life,1
rl,Reiner Laux,2,life,1
jt,Juergen Todenhoefer,2,life,1
ni,Nimo,2,music,1
blinkist,Blinkist,0,fun,2
rb,Ron Bielecki,2,life,1
ft,Fabian Thylmann,2,life,1
mp,Maximilian Pollux,2,life,1
st,Steffen,2,life,1
eb,Emilia Bte,1,fitness,1
ms,Marian Schreier,2,politic,1
zecplus,ZecPlus,0,sport,2
gin,g-in GmbH,0,sport,2
ldp,Lisa Del Piero,1,fitness,1
shaperepublic,shaperepublic,0,food,2
t,Tara,1,fitness,1
eis,eis.de,0,erotik,2
gymondo,Gymondo,0,sport,2
melina,Melina Best Friseur,0,beauty,2
jd,Jasmin Diem,1,fitness,1
ehome,Evelina Home,1,life,1
westwing,Westwing,0,house,2
bergamotte,Bergamotte,0,house,2
maisondm,Maison du monde,0,house,2
milles,Millles fleurs,0,house,2
hesse,Moebel Hesse,0,house,2
desenio,Desenio,0,house,2
ikea,Ikea Deutschland,0,house,2
avamay,Ava und May,0,house,2
botanicalbear,Botanical Bear,0,house,2
fermliving,Ferm Living,0,house,2
vogue,Vogue Germany,0,fun,2
dior,Dior,0,fashion,2
chanel,Chanel,0,fashion,2
lmonstera,Lucid Monstera,0,house,2
zarahome,Zara Home,0,house,2
dogsinthecity,Dogs in the city,0,house,2
porta,Porta Moebel,0,house,2
amonstera,Archiepelago Monstera,0,house,2
vmonstera,Varigated Monstera Adansonii,0,house,2
byrydens,By Rydens,0,house,2
dehner,Dehner,0,house,2
dyson,Dyson,0,beauty,2
amazon,Amazon,0,fun,2
bauhaus,Bauhaus Deutschland,0,house,2
connox,Connox,0,house,2
halfmoongang,Halfmoongang,0,house,2
aroids,Aroids,0,house,2
siemens,Siemens home,0,house,2
crea,By Crea,0,house,2
kitchenaid,kitchenaid,0,house,2
kaipflaume,Kai Pflaume,2,fun,1
campo,campoverde,0,food,2
bears,threebears,0,food,2
goodness,mygoodness,0,food,2
epi,epifood,0,food,2
justspices,justspices,0,food,2
lorilistic,Lorilistic,1,food,1
sweetaseli,Sweet as Eli,1,food,1
lucile,Lucile,1,life,1
mg,Michelle Garling,1,life,1
km,Klea Maria,1,life,1
annanassaft,Anna Heupel,1,life,1
eds,Ed Sheeran,2,music,1
burnaboy,Burna Boy,2,music,1
hugel,Hugel,2,music,1
nikkivianna,Nikki Vianna,1,music,1
dubdogz,dubdogz,2,music,1
dualipa,DUA LIPA,1,music,1
robinschulz,Robin Schulz,2,music,1
twentyonepilots,twenty one pilots,0,music,2
leandrodasilva,Leandro Da Silva,2,music,1
wesalane,WES Alane,2,music,1
zedd,Zedd,1,music,1
jasminethompson,Jasmine Thompson,1,music,1
cibellelevi,Cibelle Levi,1,photo,1
artpvb,Art pvb,1,photo,1
danielgraf,Daniel Graf,2,photo,1
kevinostajewski,Kevin Ostajewski,2,photo,1
linatesch,Lina Tesch,1,photo,1
riccardosimonetti,Riccardo Simonetti,2,life,1
nilamfarooq,Nilam Farooq,1,acting,1
pumaperformance,Puma performance,0,sport,2
pumawoman,Puma woman,0,sport,2
pumasportstyle,Puma Sportstyle,0,sport,2
jpb,JPB,2,music,1
myrne,Myrne,2,music,1
cymo,Cymo,2,music,1
annchristine,Ann-Christine,1,music,1
ct,Channing Tatum,2,acting,1
magicmike,Magic Mike Live,0,fun,2
jokoklaas,Joko und Klaas,0,fun,2
ekatlevy,Ekaterina Levy,1,dance,1
talina,Talina,1,fitness,1
wuwk,whatsupwhithcat,1,life,1
flum,Flum Manufaktur,0,house,2
puccinipaganini,Puccini and Paganini,0,dog,3
dumasgoods,Dumas Goods,0,fashion,2
amia,Amia De Lis,0,fashion,2
samdarkedit,samdarkedit,0,photo,1
novalanalove,Farina Opoku,1,life,1
stormzy,Stormzy,2,music,1